BT35,54.19,-6.58
BT36,54.67,-5.99
BT37,54.67,-5.9
BT38,54.72,-5.81
BT39,54.7,-6.09
BT4,54.6,-5.91
BT40,54.85,-5.82
BT41,54.72,-6.21
BT42,54.86,-6.29
BT43,54.86,-6.28
BT44,54.97,-5.95
BT45,54.76,-6.61
BT46,54.84,-6.67
BT47,54.99,-7.31
BT48,55.01,-7.32
BT49,55.05,-6.95
BT5,54.6,-5.92
BT51,55.13,-6.68
BT52,55.13,-6.67
BT53,55.07,-6.52
BT54,55.2,-6.25
BT55,55.18,-6.72
BT56,55.2,-6.65
BT57,55.2,-6.55
BT6,54.58,-5.91
BT60,54.34,-6.63
BT61,54.35,-6.65
BT62,54.42,-6.44
BT63,54.43,-6.44
BT64,54.45,-6.39
BT65,54.45,-6.38
BT66,54.46,-6.33
BT67,54.51,-6.3
BT68,54.35,-6.83
BT69,54.41,-6.97
BT7,54.59,-5.93
BT70,54.5,-6.77
BT71,54.51,-6.77
BT74,54.36,-7.59
BT75,54.38,-7.31
BT76,54.41,-7.17
BT77,54.43,-7.13
BT78,54.6,-7.3
BT79,54.6,-7.3
BT8,54.57,-5.91
BT80,54.66,-6.62
BT81,54.71,-7.59
BT82,54.84,-7.43
BT9,54.58,-5.94
BT92,54.24,-7.43
BT93,54.54,-7.61
BT94,54.45,-7.66
BT99,54.6,-5.92
CA1,54.89,-2.94
CA10,54.75,-2.71
CA11,54.66,-2.78
CA12,54.6,-3.13
CA13,54.66,-3.37
CA14,54.65,-3.54
CA15,54.72,-3.5
CA16,54.58,-2.5
CA17,54.47,-2.35
CA18,54.36,-3.39
CA19,54.39,-3.38
CA2,54.88,-2.92
CA20,54.42,-3.44
CA21,54.45,-3.51
CA22,54.48,-3.53
CA23,54.51,-3.53
CA24,54.52,-3.55
CA25,54.52,-3.52
CA26,54.53,-3.5
CA27,54.49,-3.59
CA28,54.54,-3.59
CA3,54.91,-2.94
CA4,54.86,-2.89
CA5,54.77,-3.23
CA6,54.95,-3
CA7,54.82,-3.18
CA8,54.94,-2.73
CA9,54.81,-2.45
CA95,54.65,-3.57
CA99,54.89,-2.94
CB1,52.21,0.15
CB10,52.02,0.24
CB11,52.02,0.25
CB2,52.17,0.13
CB21,52.1,0.29
CB22,52.17,0.16
CB23,52.16,0.01
CB24,52.26,0.06
CB25,52.28,0.33
CB3,52.21,0.11
CB4,52.23,0.14
CB5,52.28,0.33
CB6,52.4,0.26
CB7,52.4,0.27
CB8,52.25,0.4
CB9,52.09,0.44
CF1,51.47,-3.19
CF10,51.48,-3.18
CF11,51.45,-3.19
CF14,51.55,-3.19
CF15,51.54,-3.26
CF2,51.48,-3.17
CF23,51.5,-3.12
CF24,51.48,-3.17
CF3,51.52,-3.11
CF30,51.52,-3.12
CF31,51.51,-3.58
CF32,51.53,-3.64
CF33,51.52,-3.67
CF34,51.61,-3.65
CF35,51.49,-3.59
CF36,51.48,-3.71
CF37,51.6,-3.35
CF38,51.56,-3.31
CF39,51.61,-3.41
CF4,51.51,-3.22
CF40,51.62,-3.45
CF41,51.65,-3.49
CF42,51.67,-3.53
CF43,51.65,-3.43
CF44,51.71,-3.42
CF45,51.68,-3.38
CF46,51.66,-3.31
CF47,51.74,-3.37
CF48,51.73,-3.37
CF5,51.49,-3.23
CF6,51.44,-3.17
CF61,51.41,-3.48
CF62,51.42,-3.31
CF63,51.41,-3.26
CF64,51.44,-3.17
CF7,51.46,-3.44
CF71,51.46,-3.44
CF72,51.53,-3.39
CF8,51.57,-3.22
CF81,51.69,-3.23
CF82,51.65,-3.24
CF83,51.57,-3.22
CF91,51.47,-3.19
CF95,51.48,-3.17
CF99,51.46,-3.16
CH1,53.19,-2.89
CH2,53.2,-2.89
CH25,53.4,-3.01
CH26,53.37,-3.07
CH27,53.42,-3.02
CH28,53.4,-3.11
CH29,53.39,-3.18
CH3,53.19,-2.86
CH30,53.38,-3.1
CH31,53.33,-3.1
CH32,53.36,-3
CH33,53.29,-3.06
CH34,53.29,-2.91
CH4,53.16,-2.99
CH41,53.4,-3.05
CH42,53.38,-3.03
CH43,53.37,-3.07
CH44,53.42,-3.04
CH45,53.43,-3.06
CH46,53.4,-3.11
CH47,53.4,-3.17
CH48,53.37,-3.19
CH49,53.38,-3.1
CH5,53.21,-3.04
CH6,53.25,-3.13
CH60,53.33,-3.1
CH61,53.35,-3.12
CH62,53.31,-2.96
CH63,53.32,-2.99
CH64,53.29,-3.06
CH65,53.28,-2.9
CH66,53.27,-2.97
CH7,53.17,-3.14
CH70,53.19,-2.92
CH8,53.27,-3.22
CH88,53.19,-2.88
CH99,53.2,-2.88
CM0,51.66,0.83
CM1,51.74,0.48
CM11,51.63,0.43
CM12,51.63,0.42
CM13,51.63,0.33
CM14,51.62,0.3
CM15,51.67,0.27
CM16,51.7,0.11
CM17,51.78,0.13
CM18,51.76,0.1
CM19,51.77,0.09
CM2,51.73,0.47
CM20,51.77,0.09
CM21,51.8,0.14
CM22,51.92,0.25
CM23,51.94,0.15
CM24,51.88,0.22
